,0
39,you feel the heat but is not like you thought it might be
40,is not romantic
41,is just hot dry you can’t breathe and the smell of infernal sulfur and wet earth and even worse things triggers an old memory or instinct in you to run
42,you’re brought to face with a vehemence and brutality of rock and you start to feel dizzy staring in
43,molten rock in your nostrils and it’s not just that it scares you
44,if it were great fear that could be a spur to action
45,but it fills your nostrils with banality and dullness of plain molten dust you see gray and black
46,it reminds you of torrid summer afternoon by abandoned gas station you are stranded on dirt road choked by heat and so much dust
47,you see flames in the hole but it lacks the romance of fire as you imagined it
48,is this it
49,it seems like nothing to you because to your eye it’s nothing
50,so you pull away from it
51,you’re not reborn as a god you remain a mule
52,your lying mind now comes up with many thoughts about why it’s right to pull back
53,why of course
54,there’s a nice meal to have a glass of wine
55,maybe there’s a girl waiting
56,her pussy is warm and inviting
57,empedocles was deluded
58,no don’t jump in aetna or mauna loa or puyehue or eyjafjallajökull titans of the world even if you get yourself to do it it won’t work now
59,these portals are closed for ages
60,but
61,other doors are closed to you too
62,what mount aetna was to empedoclesis there something like that to you
63,is there something like that at all anymore
64,life has a thing inside it that reaches beyond itself
65,this is intergalactic worm i can’t say here you must wait
66,but if you don’t reach beyond yourself you are dead
67,most of mankind is the walking dead
68,i tell you other story
69,in stone age man appears very strong shoulders with club in hand
70,he is believed by the people to be a son of some godof a mortal woman who cucked her husband with a god
71,as child he already displays superhuman strength
72,when he grows he goes into the deepest wild to fight great cave lion
73,he emerges from cave with skin of lion on his back
74,lion had been eating and working terror in the people but now he wears this terror on his shoulders
75,he carries lion mane on head lion pelt on back and a great club in the hand
76,this man comes to be worshiped by the people his progeny become lines of kings of sparta and many other places
77,what was his act of foundation
78,he slaughtered monsters he made the seaways known to man and tamed the rock face
79,but don’t forget the lionskin on his shoulders
80,this was lion of nemea
81,do you understand what nemesis is
82,there is in nature a great purgative function
83,you know about monkeys who switch sex in certain times
84,in lake of some reptiles when they overpopulate it and there is a surplus of refuse there is trigger in nature a monster is born to them
85,a lizard many times the size of a normal one is born who deals out destruction and culls the lake
86,the greeks believed in this great power and worshiped its justice
87,in bible it appears as allegory of the flood which in fact refers to the irrepressible spirit of the sea peoples and the divine justice they brought to cities whose life had grown pointless and a great ugliness on the world
88,you bring lion cub into the house but aeschylus say it will become a priest of doom when it reaches age in nature there is irrepressible force
89,its violence against the surfeit of populations is divine justice
90,its destruction of the feeble designs of reason the pointless words of manthis is beautiful
91,this what the power of nemesis means few are chosen to wield it fewer realize they are chosen or know what to do with it
92,when hercules puts on the power of nemesis on his shoulders he becomes hero who makes the world tame and safe for cities of real men
93,but that was in his time and ours is an age of surfeit
94,it is different function
95,the star of nemesis is sure to return and it must already be burning inside some of you
96,in the bronze age men had life and force and i already see far on the horizon of our world but the glimmer is surely theremay it not be a mirage i see this spirit returning surely in our time
97,piratical bands and brotherhoods will take to the seas and not just to the seas
98,the enemies of western man and the enemies of beauty are to learn just what was meant by a piratical race a nest of pirates like the chinese thought of the dutch on first meeting them
99,i want to prepare you to receive this old spiritold spirits are moving from behind the reeds the silhouette shimmers against a river in late summer and i see already men who know how to honor such uncanny old friends
100,may they inhabit us again and give us strength to purify this world of refuse
101,part one the flame of life 1 what if you’ve been misled about what is life
102,they do this by showing you two red marionette and shake them in front then you stay mesmerized and clap like trained seal
103,is like in politics before last year
104,you had in years before trump the fat bald gluttons of the right put in a fighting ring against the janet renos the womyn with pickup trucks the thinlipped transnumales of the left
105,you had good people mesmerized even by this show and it’s funny to see a fat bald man try to tear out the eyes of woman of strong forearm with mullet both frothing at mouth
106,both saying nothing but grunts of pigs and premade platitude formula
107,but meanwhile the nation suffered and the future of youth was given away
108,when they trick you about what is life this even worse because you don’t see problem right away but then comes out sixty years later and your grandchildren don’t exist or they are 56 humanoid shifting about between shadows or they are of noble power but have to hide under half finished buildings because are hunted
109,but you must understand both left and right have been fooled about what is life
110,2 group of horses in broad plain and the lead stallion is captured by a wild spirit starts to gallop this way and that and the whole herd follows in a great rush of power and freedomnietzsche talks about this
111,i’ve seen many things like this myself was at big waterfall gathering place of many birds and other animal
112,through all the cycles of history this place remains and birds who witnessed the coming and going of human civilizations remember it through the aeons and always return there
113,i saw many group of small birds when the weather slightly changed this waterfall so big that a small wind would make spray of water everywhere
114,sun came from behind clouds and spread many small rainbows birds would become excited come out from crevasses in rock face and would glory in the sprays of water and the rainbows they swoon doing acrobatics this way and that
115,like when homer says that on some asian meadow tribes of geese and crane and longnecked swans glory in the power of their wings above it then land between the rivers in skamandrian plain with a great clang
116,is not enough just to say what is purpose of this to survival or reproduction
117,surely some pedant can make a story
118,but when you see this behavior is not so alien
119,maybe in happiest moments you were free to act and feel the same what anything to do with survival or reproduction
120,that kind of heavy necessity is the spirit of gravity and this is opposite
121,that petty and cramped view of lifebut in truth life as it is when free life in abundance knows luxury surfeit and wastesurvival and reproduction are side effects of something else 3 the most noble animals refuse to breed in captivity
122,many animal not just man choose death when trapped
123,but i thought all life strove for mere survival and reproduction but this not enough
124,but if not enough then must understand animal in some other way
125,very much when thinkers talk about “evolutionary psychology” they abstract from way of yeast to way of animals and man but this is backward
126,4 there’s a sociology of the world of scientists like of everything else
127,this is a cause of much confusion about biology and ideas of evolution
128,you think you’ve been given objective truth but the minds of biologists are in general very limited
129,the truth is the biggest minds always went for physics among the sciences then maybe chemistry
130,until recently but even now biology gives little opportunity for the kind of thinking that penetrates mystery of nature the kind of insight into physical relations that attracts the best scientific minds
131,they’ve been on the whole a halfandhalf group in history
132,schopenhauer refers with contempt to the people who have their “catalogues of monkeys” and think they understand nature
133,darwin himself nietzsche called him a petty mind the kind of calculator who likes to collect many small facts and synthesize some clumsy theory
134,the theory is clumsy and full of holes
135,this is the biggest reason creationists who are also wrong have been able to challenge it where they were never able to challenge theoretical physics
136,there is much dishonesty and stupidity among scientists and biologists when they talk about evolution and life
137,5 the problem now is you think i want to attaq idea of evolution or to change it because it’s racist or uncomfortable just like the left and others attaq or suppress it
138,this is not true
139,listen you don’t need darwin to believe in heredity and even evolution
140,people knew about heredity and the different lineages of man long before darwin
141,in the political sense the promotion of darwin teaching and its application to mankind is a great good
142,the left and its many robotsi will talk of their origin laterwant nothing more than to hide truth about human nature
143,and darwin evolutionary science in all its forms is a great weapon of truth against them
144,in all this i agree but remember the marionettes i mentioned
145,don’t be distracted by the puppet play
146,it is important not to be misled by a fierce debate with a stupid opponent into just accepting the only other alternative that is presented to you
147,although the left or what i have termed the bugman hates and fears evolutionary ideas applied to humans darwinism itself is the product of bugthought
148,in the end it won’t show you way out of the prison of the ages
149,the hereditary nature of the qualities and the suitability of an organism to its environment and viceversa all of this is true observation
150,and that true observation about heredity is in the end enough you don’t need more than that to utterly crush all the designs and vanities of the bugman
151,the bugman fears heredity and nature not darwin
152,6 you must understand that the evolutionary psychologist the evobiologist the darwinist in generalmost such people are very good and even great minds who are just misled by the fightplays a game of baitandswitch
153,many times he’s not aware he does this himself
154,he believes in darwinism as a teleological faith that reproduction and survival are the ends of life the purpose toward which all life strives and that this explains how life or an organism behaves and also how it is adapted to its environment
155,but when you confront him on this he will deny all notion of teleology
156,he will say he doesn’t believe in any of this but only in a material mechanism of natural selection
157,through this mechanism those organisms that are not in keeping with demands of environment at some time are slowly pared out
158,by a process analogous to our breeding of animals like dog and horse nature itself breeds organisms and life this way and that by accident
159,there is no end or purpose he will say you are crazy
160,but then when he’s not paying attention he will talk a different way
161,they all do this
162,he will start to say that this or that animal is behaving this or that way because it is trying to secure either reproduction or survival
163,he will explain physical features in this way too and when he really forgets himself he will make a moral principle out of it
164,the most honest ones when they trust you will talk about replicating themselves as an aspiration and a goal
165,this is human all toohuman but also very natural because it’s very hard to talk about biology or life without teleology or some consideration of ends or purpose
166,clearly physics and chemistry seem to be driven by no purpose or goal
167,but animals seem very much driven by motive or purpose and is hard to explain a biological feature without reference to its end or purpose
168,so the darwinist forgets or tries to change the topic all the time he knows what is really interesting is the question of what drives life what explains animal behavior and what explains the correspondence between organism and environment
169,this is the question
170,the mechanism of heredity or the means by which a species is shaped natural or unnatural selection which is really darwin’s only insight is the least interesting part of all
171,actually it is a tautology yes only those animals who have managed to reproduce actually pass on their traits
172,something every sheep breeder in history has known
173,but that this alone explains animal adaptation or behavior is nonsense
174,7 there is alpine mouse that collects food for winter
175,somehow it knows exactly the proportion of poison herbs to include in winter stores to preserve them
176,too much and the food it gathered becomes poison too little and it spoils
177,there is example schopenhauer gives two insects and one will kill the other on sight
178,yet this other presents no immediate danger to the first but will only eat its eggs in the future
179,how does that first insect know this
180,it is not taught nor does it see
181,it has very primitive nervous system
182,it knows this somehow “in the blood” this is a very specific and complicated behavior
183,there are many such cases in nature
184,creationists have focused too much on complicated physical features but even for something like the eye or the bacterial flagellum it is possible to construct stories of how they evolved gradually
185,i don’t believe those stories they sound improbable and madeup but they’re more believable than the stories you have to make up in the case of behaviors
186,and many more
187,so many animals and simple insects have such complicated behaviors they are born with already
188,at some point the incremental explanation becomes so convoluted it is hard to believe
189,please remember that aristotelianptolemaic system for calculating motion of planets and so on worked quite well for long time
190,it was abandoned because ever more convoluted explanations had to be invented to support the fundamental and wrong assumption of geocentric model
191,evolutionary theory today is slowly in same position and nowhere more than where they may try to explain inborn behaviors of this kind
192,it is obvious that such behaviorsif you want to call them “adaptations”came about as we see them now complete and without significant incremental change
193,how did such “miracle” occur
194,this is not creationist booki do not believe in that
195,nor do i believe in the “miracle” that modern science has invented hiding under the word “random mutation” and the handwaving of “incremental change” there is not enough time nor enough number of specimens nor the kinds of “mutations” observed to support either natural selection or lamarckianism as explanations for evolution
196,many of the mathematical models for how a trait will spread in a population have failedthey don’t tell you this
197,no i don’t talk about miracles whatever words you put them under
198,and the “design” is there but it is by no means benevolent or intelligent nor comprehensible
199,you see in the spider’s web a creature of rudimentary nervous system and little intelligence “design” something beautiful and complex and this is key to understanding also all of nature
200,there is an inherent “intelligence” inside things uncanny silent and demonic
201,its workings and aims are obscure to us
202,our own intelligence is only a crude deviation of it an approximation
203,there is an “intelligence” in all things and inborn in our bodies before anything to do with the brain or the nervous system
204,and all “adaptations” no matter how much natural or unnatural selection may have gone to spreading them within a population occur not by random but by a spontaneous correspondence of some kind between the organism and the environment
205,some day we may discover the material cause or manifestation of this correspondence or the chain by which it travels from the rockface and the elements of brute matter up the forms of lifethere is some asyet undiscovered “signaling” system
206,but the adaptation by no means takes place at random nor even primarily by natural selection which is just one of the means by which it spreads in a population
207,8 a truly objective or scientific approach to life would be to start without assumptions
208,make no big stories
209,take animal and study
210,study what it does in nature not lab when left alone from human
211,study different specimens the mood the behavior at different time of year in different places at different levels of fortune and wellbeing
212,make no assumption about what it wants ultimately study how it behave today tomorrow in the moment which is only thing that exists for animal
213,look inside its brain
214,study its hormones and its internal states with great care and with clinical objective eye correlate these internal states to what it does or what it’s driving atand driving at that day or in that moment not what you think about “reproduction or survival” this is true path to understand animal adaptation behavior and life
215,there is some of this done but much too little and not well
216,in the end are you so different from goat dog or even ant that you look at such beings and really remain puzzled
217,for sure the real research i just named must be done if only to convince the boneheads
218,but the behavior of an animal would be a complete mystery to you if you weren’t very similar yourself but we understand right away a bear angry at bees or playing under whitesilver birch in thick of forest or lizard frightened and winding between rocks why it does what it does
219,it is no mystery to us who are also like them
220,we love dogs because they express so honestly and without dissimulation what we also are and want
221,they and other pets calm us because promote a kind of carelessness normal to animal life unencumbered by thoughts of the past or worries about the future none of which actually exist
222,women are in their natural state close to this condition as well or closer on the whole which is where they get much of their charm and power from the modern education that teaches women to be hyperaware anxious for the future abstract neurotics etc actually takes away their power to a great degree while tricking them into thinking they are being tough or sassy but a hyperconscious woman is made powerless and charmless
223,but study must be made of inner state of animal now in this condition now that
224,what anyway would objective study of an organism say
225,what does life want
226,9 darwin and his style of thinking would never have made so much impression or ever had such power if it were simply false
227,actually darwinism is true but only under certain conditions
228,it’s not even a “halftruth” it’s actually the full truth about a kind of life but the mistake is to think it describes all life
229,darwin is meaningless without malthus but this is why nietzsche is right about both of them when he says they describe only life in england or more precisely the england of that time
230,the beginning of the industrial age and england as the first nation that solved the problem of infant mortality these are the relevant facts
231,england was able to colonize so much of the new world because it was the first country to solve this problem
232,many criticize in some way the spanish or portuguese model of colonization but you must know the portuguese had a population of one million when they began the age of discovery with henry the navigator
233,and of that population many fewer were young men who could embark on voyages of great danger some say up to a fourth or more died on these voyages alone
234,they had no manpower to settle faraway lands but continued the old pattern of “elite dominance” where brotherhoods of conquering men often took local wives and such
235,by contrast the english could now transplant entire populations being surfeit of huemans
236,but it was still not enough
237,the cities became crowded the filth unbearable as the lowest classes swarmed the monstrous new machines of industry
238,the living conditions of workers well into the 20 th century were purely hellish marx and his followers at least were right about that and that’s why they could prey on this condition
239,it was a condition of misery and destitution similar to or worse than we see in the shantytowns of the turd world
240,solution to infant mortality problem meant these lower classes put all excess income into supporting more mouths to feed not improving the quality of life of the children they had just an exponential increase in human biomass
241,and this is the world of malthus and of darwin life under filth life under distress
242,darwinism describes life under extreme stress
243,from this very partial view he thinks he has discovered the truth about life in general but animal under conditions of extreme stress crowded condition observed and watched filthy beaten and imprisoned its life severely regimented away from what it would like to do if left to its devices will not give you secret to what life is
244,it will be very misleading example and this is basis of darwinism and of all thought that comes from it
245,it is the philosophy of life of the tenement and the slum of the open air workcamp
246,10 no kind of distress is worse than the feeling you are trapped
247,my worst nightmares are about opening a door only to find myself in the same aluminum cell over and over
248,the exhaustion that sets in after a long night of chess when you sleep and your mind dreams repeat nonsense moves i know of few worse forms of torment
249,and this is selfimposed through exhaustion but even worse is when an outside force or being restrains you yet you are in full control of your spirits and power at least to begin with
250,that condition is intolerable for the most noble animals who choose death if necessary or at least any way to escape no matter how painful
251,many caribs trapped into slavery died because they couldn’t endure this some bit through their arms to escape their chains and endured any pain to escape captivity
252,germanic mothers would kill infants when roman legions closed in tacitus describe life of germanic warrior who lived his whole life dedicated to war and fame never became a domestic
253,at masada and at other times the jews killed their own children to escape subjection when they were still a noble people
254,xenophon describes in anabasis how mother with infant would jump off a cliff in the highlands of urartu to escape the advance of the greek army we see same videos in japan in okinawa mother jump off cliff
255,buddhist monks vietnam selfimmolated and brought great shame on the west
256,for this reason nietzsche say noble peoples do not endure slavery they’re either free or they die out
257,there is no “adaptation” to slavery for some types of life
258,what is that people who has chosen survival at any price
259,the price they paid was monstrous and such a people becomes monstrous and distorted if it accepts this
260,the distinction between master races and the rest is simple and true hegel said it copying heraclitus those peoples who choose death rather than slavery or submission in a confrontation that is a people of masters
261,there are many such in the world not only among the aryans but also the comanche many of the polynesians the japanese and many others
262,but animal of this kind refuses entrapment and subjection
263,it is very sad to witness those times when such animal can neither escape nor kill itself
264,i saw once a jaguar in zoo behind a glass so that all the bugs in hueman form could gawk at it and humiliate it
265,this animal felt a noble and persistent sadness being observed everywhere by the obsequious monkeys not even monkeys that were taunting it with stares
266,he could telli saw this
267,he could tell he was living in a simulated environment and that he had no power to move or live
268,his sadness crushed me and i will always remember this animal
269,i never want to see life in this condition
270,11 just a few weeks ago i was outside night club in city that is still untouched by firstworld regimented hygiene welllighted clean streets made safe for women come at a high price for the mood of a city
271,in this place the government and bureaucracy couldn’t extend its rules and cleanup efforts even if it wanted
272,there are then many nooks and hidden corners that are under no one’s control
273,in this noman’s land there is mafia so many perverts there is some crime but it’s kept at mostly very low or nonviolent level because place is full of offduty cops on the make and no doubt spooks foreign and domestic and who knows what else
274,i find life without such refuge to be almost intolerable so here i felt free but i think was after day in a haze and the glycine was kicking in
275,i must have taken 600 mg theanine as well and after much coffee i was spacing out under vicious neon yellow lights i stood looking at the bouncer almost in a trance
276,i wondered what it was like to be him
277,he was alert knew what posture to take for his job and what look in the eye to emulate or put on an act of being vigilant and was imposing in broad frame under leather jacket with militarytype epaulettes but there was a kindness or softness in his eyes
278,maybe would have taken some power of perception to see this and i doubt he was challenged often by the customer riffraff because of it but i could see it how at times he sunk into a sadness and boredom looking in the distance
279,i too looked down the long broad street mostly empty except for some small groups of drunks hookers some revelers in the distance there was great fountain in plaza lighted up on all sides
280,i don’t know why maybe the calmness of the blessed aminos hit me but my gaze veered off to one of the apartment buildings on the side of the road
281,there was just one light turned on in the middle of building and my mind wandered to who lived there and what they were like and then to how it would be if i was the boy or girl who lived there
282,many times i’ve wished not so much that i was someone else nor that i was immortal but that i could live many different lives simultaneously and not be limited to being only one thing
283,at such moments of mood where you’re both calm and at least feel free every detail of life becomes interesting all takes the character of images from a peaceful dream that present themselves in turn and don’t move you one way or another because you see through them
284,i wonder then at least as a zoological experiment what it would be like to be a vietnamese girl a nail shop owner or even an obese angolan middleaged woman running a pedicure operation with pink wallsyes no form of hueman life is beneath me at such moments
285,i’ve even had dreams that i was a door or a vase free to observei imagine only the seeing the satisfaction of curiosity and not the thousands of cares that must affect these people who i want to inhabit
286,but most of all then when to this love of curiosity is added some sudden burst of energy i start to wonder about men like myself of around my age and what it would be like to be them what they think moment to moment what pulls them this way and that
287,i feel then a great longing for them and also for myself and think of the friendships that i could have had with them and the great tasks that could await
288,i feel beset by this as an almost erotic irritation that is diffuse and a great sadness and irritation that i will never know who lived in that building at that window never see what they saw looking out
289,these waysthis is all my version of “love for mankind” of the other abstract kind it means nothing and those who invoke it are bullshitters
290,12 very young rams very young stag even when fawn well before horns appear playfight with heads butting
291,this is in anticipation of horns that will grow
292,yet no one teaches them this but they know it in the blood
293,what came “first” for this animal the development of horns or the “knowledge” and will to fight in this manner
294,in phenomenon like this is kept the secret and truth about evolution and life
295,13 struggle for space a healthy animal not under distress not maimed not trapped by man seeks first when young space
296,animal seeks space in physical sense territory
297,but this meaning isn’t crudely physical i give this as vivid image which is true for many animals that seek ownership of concrete territory
298,but more generally you must take it to mean something else space to develop inborn powers
299,monkey that lives in trees seeks skills to master canopy beaver seeks ownership of river and banks and reeds in its grasp many big cat of course seek mastership of actual territory and claims to prey and mates in this territory
300,big feline hunting dogs seek full use of claws fangs development of smell and other senses to extend their reach over space
301,they seek these things because they want to master matter
302,all of this is higher organism organizing itself to master matter in surrounding space
303,successful mastery of this matter leads to development of inborn powers and flourishing of organism which allows it to master more matter to marshal the lower to feed the higher
304,it is mobilization of matter to develop the inborn character or idea or fatethis true not only for food literally
305,in social animals an analogous process takes place within social relations or social “space” there are some important changes that happen here but principle is same
306,important to understand that there is a circular process organism seeks mastery of space environment to master matter in ways particular to its own abilities and as a result of this mastery of matter there is development of its body its senses and all of its faculties and the unfolding of its inborn destined form or nature in time its particular form flowering in the spring of its season
307,all of this requires precisely freedom from struggle for survival or time away from this a reprieve from this pressure
308,as for reproduction animal in natural state will not even seek at this point will not even think it
309,very far from its aims it seeks to become strong skillful to master problems and feel the expansion of its powers and not just feel them but perceive it to be truly so perceive intuitively its mastery over its space
310,only after full development of its powers and its mastery over space specific to its needs does the need or desire for reproduction come
311,reproduction is side effect of animal desire for discharge of strength after mastery over space is achieved
312,for this reason many lower animal breed very fast and in great hurry but the higher and more organized the form of life the more complex its needs for development are the longer is delayed the time of reproduction and the more vulnerable it is to the stresses of competition for survival
313,animals that have “evolved” under intense competition are in some sense “stunted” less beautiful less intelligent less magnificent
314,there are many “factions” in nature and many paths that pull in opposite directions
315,you must learn to see the secret language of nature and what it drives at there is one path that drives for the production of a supreme specimen
316,it is the path that governs higher life survival and reproduction are only side effects of this path
317,life is at most basic struggle for ownership of space
318,14 some things make my blood boil far more than a direct physical challenge might
319,i once left the gym and some chad came up to me and started to feel me up
320,then i discovered he was feeling up my pockets was trying to see if someone stole his missing stuff
321,i found this very amusing
322,maybe was post workout and i was very calm but was not offended by this partly his manner was not obtrusive despite what he was doing
323,it was possibly a form of muscle worship
324,but rarely do i feel angrier as a violation of my privacy than if i eat in restaurant alone and someone comes to sit right next to me when the whole place is empty
325,vilest of all is when a group of something i think were subcons or han came and sat just by me in entirely empty restaurant and started to eat with mouths open
326,that sound too fewer things grate on the nerves and present themselves as imposition on your space than the sound of socalled hueman eating
327,other animals making sound eating don’t bother me but i find charming
328,different types even within same grouping of animalsi refuse the word species have very different needs of life
329,my blood starts to boil against my kindness and judgment even when i stay with gril and she insists on setting air conditioner off or closing window because “too cold” i like open spaces and slightly cool and there can be no living together with creatures who like a huddled and overwarm existence
330,i believe also the white race or rather some groupings within itthere are far more races than people want to admitis in general hostile to the way of life of the tribes that like a closepacked existence
331,these are biological requirements of this or that way of life and no laws no common beliefs can bring such different types together
332,a hybrid of such types would probably be born and remain physiologically confused or sick
333,15 whoremoans energy and higher life the same if we had very advanced sensors where we could observe the inside of animals from far and in great detail without interfering without them feeling irritated or oppressed by our impositions we could learn much about what life means
334,from observing many different ones in different places we could see what conditions an animal seeks in life in general
335,such sensors would need to be much more advanced than equipment we have now and to show what parts of the brain are activated to see the relationship of this to blood pressure and heart rate the actions of the immune system the level of various inflammatory and antiinflammatory markers and most of all the balance and action of the various hormones on the body’s systems on the brain and how these correlate to what the animal is doing at any one time
336,any information we have right now on this subject is at most rudimentary
337,the medical literature is confused is presented with great confidence but is corrupted by money career and other interests of all kinds
338,the scientific literature is less known and itself remains contradictory
339,we know at most a few relations of what say elevated thyroid or cortisol means at such and such time of day and its multiple effects on various body tissues and systems
340,we have no real overall understanding of how such things interact nor what they mean for the body’s overall processes still less in the life of an organism as a whole and the few who have attempted to achieve such understanding like ray peat are treated as cranks
341,but it’s not possible to understand what life means nor what an organism drives at nor what any specific behavior or physical adaptation means until this is taken up
342,if biologists had been honest people they would have tried to proceed in this way without assumptions just amassing observations about different organisms in different situations
343,but they did this only very little and it’s always distorted by their various agendas and prejudices
344,the data we have itself is therefore at this point much too sparse and it will take decades to get what is needed even if researchers begin now
345,it will be a genius of the ages who will really be able to understand and explain the complete view of how hormones act in an organism
346,there is no irony here i don’t do irony
347,learn that i don’t understand the gay idea of “irony” hormones hold the key to the meaning of life in the most fundamental way and if this sounds “reductionist” to you if you think i demystify things too much it’s because you think you know what you don’t or you think scientists know when they actually don’t
348,these substances seen with fresh eyes are pure big magic
349,they govern all cycles of an organism’s growth and its decay
350,they can turn small calf or baby gorilla into giant elephant or half ton silverback on diet of greens they can turn skinny man into herculean half god or make strong man take on the aspect of woman and change tendencies and feelings mirroring the magical transformation of some animals that switch sexes by signals we don’t yet understand
351,this doesn’t even begin to cover the different meanings of thyroid progesterone the various neurotransmitters and many others that act one way on the nervous system another way on the gut another way on the immune system that govern cell division and the preservation of function in ways that are for the moment a mystery to doctors and to science
352,only a complete understanding of these hidden substances will reveal the fullness of life in its glory
353,the study of life as a “black box” has led to misunderstandings because the observers are dishonest and stupid and will report an action but not what comes before or after nor its place in the life of an animal nor do they try to intuit from within themselves the study of hormones among many other internal processes of an organism will prevent them from lying in this way
354,for example an animal may act one way under stress and pressure but then appear to do the same action out of a spirit of openness and selfincrease and the same action or behavior may actually have completely different meanings biologically this will be shown by actions of hormones neurotransmitters cytokines in the body
355,and i will tell you what they likely to discover
356,so far only ray peat a man blessed by a grand and alien understanding has tried to decipher the secret language of these blessed substances
357,learn that there are at least two kinds of life
358,usually you think of life versus inanimate matterhow strange that the most primitive languages the agglutinative grunts of neanderthals like basque distinguish not between gender of noun but between animate and inanimate
359,i wonder then what they would call yeast
360,learn that there are two kinds of life and yeast is different from higher life
361,higher life means many fancy and mysterious things too of course but at its most basic it has to do with differentiation and structure
362,yeast is an “amorphous blob” that expands whereas a higher organism has different parts with different functions different organs different systems within itself
363,the sexes are different because it reproduces sexually and some have taken this to be the main distinction asexual versus sexual reproduction
364,but it’s obvious that “differentiation” in higher organisms goes much beyond this
365,and to preserve the function of the different organs and different systems within itself an organism sacrifices the ability to expand and replicate indiscriminately like yeast does for example
366,you can think of it as “sacrifice” of this ability or just say that these two modes or tendencies expansion and replication of cells on one hand and preservation of higher or differentiated function on the other are at odds with each other
367,they are governed by different hormones and neurotransmitters where estrogen and serotonin are “stress” substances that govern cell division but thyroid and progesterone are those that govern the preservation of function
368,it is not correct to call estrogen then a “sex hormone” but a stress hormone and its greater proportion in body of female is because female is under greater stress due to demands of inner cell division and menstruation
369,the picture is far from complete of course but this leads to many good observations
370,considering this from the other side the side of pathology the indiscriminate cell division the return of “primitive life” within the human body is called cancer which looks and acts very much like a fungus does
